,timestamp,HR,co2,noise,humidity,stress,sleepscore,fatigue,mood,activityintensity,foodintake,food,activitytype,company,location,Filter A,Filter A2,Filter B,Filter B2
0,2025-09-01T08:00:00,146,528,43,50,5,5,2,6,5,3,yoghurt,walk,partner,park,,,,
1,2025-09-01T10:00:00,145,1128,35,38,4,3,6,7,6,2,cracker,swim,partner,cafe,,Yes,,Yes
2,2025-09-01T12:00:00,65,976,50,46,2,2,2,4,1,4,milk,walk,colleagues,park,,,,
3,2025-09-01T14:00:00,68,1320,70,55,3,4,4,3,4,6,cracker,yoga,friends,office,,,,
4,2025-09-01T16:00:00,135,908,57,36,5,7,6,5,3,2,yoghurt,bike,friends,office,,,,
5,2025-09-01T18:00:00,126,656,37,61,2,5,2,1,2,5,yoghurt,yoga,colleagues,park,Yes,,Yes,
6,2025-09-01T20:00:00,120,1769,66,37,6,1,2,2,3,3,yoghurt,yoga,friends,park,,,,
7,2025-09-01T22:00:00,88,1532,62,52,3,6,6,6,3,4,cracker,swim,friends,home,,,,
8,2025-09-02T00:00:00,115,1465,59,39,6,5,4,1,1,2,fruit,swim,friends,home,,,,
9,2025-09-02T02:00:00,115,999,66,49,3,6,5,1,3,7,yoghurt,tennis,colleagues,park,,,,
10,2025-09-02T04:00:00,112,453,61,44,7,2,1,4,5,3,oatmeal,swim,colleagues,office,,,,
11,2025-09-02T06:00:00,74,1659,62,53,5,5,3,4,4,5,cracker,yoga,friends,home,,,,
12,2025-09-02T08:00:00,99,1366,44,67,4,1,2,4,2,4,yoghurt,walk,colleagues,park,,,,
13,2025-09-02T10:00:00,95,907,69,45,4,5,5,3,1,1,yoghurt,bike,friends,cafe,,,,
14,2025-09-02T12:00:00,125,1289,68,66,5,3,1,3,6,4,fruit,walk,partner,home,,,,
